问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,26,20,P:System.IO.Ports.SerialPort.IsOpen,,,,,bool isOpen = com_Pace.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,18,12,P:System.IO.Ports.SerialPort.BytesToRead,,,,,int btr = com_Pace.BytesToRead;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,77,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.SelectedIndex = -1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,77,16,P:System.Windows.Forms.ListBox.SelectedIndex,,,,,listboxMessage.SelectedIndex = -1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,P:System.Windows.Forms.ListBox.Items,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,P:System.Windows.Forms.ListBox.ObjectCollection.Count,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,P:System.Windows.Forms.ListBox.SelectedIndex,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,74,12,T:System.Windows.Forms.ListBox,,,,,if (listboxMessage.Items.Count > 0)              {                  listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;                  listboxMessage.SelectedIndex = -1; // 可选：取消选中状态，只保留滚动位置              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,74,12,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,if (listboxMessage.Items.Count > 0)              {                  listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;                  listboxMessage.SelectedIndex = -1; // 可选：取消选中状态，只保留滚动位置              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,74,12,P:System.Windows.Forms.ListBox.Items,,,,,if (listboxMessage.Items.Count > 0)              {                  listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;                  listboxMessage.SelectedIndex = -1; // 可选：取消选中状态，只保留滚动位置              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,74,12,P:System.Windows.Forms.ListBox.ObjectCollection.Count,,,,,if (listboxMessage.Items.Count > 0)              {                  listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;                  listboxMessage.SelectedIndex = -1; // 可选：取消选中状态，只保留滚动位置              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,71,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,71,16,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,listboxMessage.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,71,16,P:System.Windows.Forms.ListBox.Items,,,,,listboxMessage.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,71,16,M:System.Windows.Forms.ListBox.ObjectCollection.Clear,,,,,listboxMessage.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,69,12,T:System.Windows.Forms.ListBox,,,,,if (listboxMessage.Items.Count > 5000)              {                  listboxMessage.Items.Clear();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,69,12,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,if (listboxMessage.Items.Count > 5000)              {                  listboxMessage.Items.Clear();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,69,12,P:System.Windows.Forms.ListBox.Items,,,,,if (listboxMessage.Items.Count > 5000)              {                  listboxMessage.Items.Clear();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,69,12,P:System.Windows.Forms.ListBox.ObjectCollection.Count,,,,,if (listboxMessage.Items.Count > 5000)              {                  listboxMessage.Items.Clear();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,68,12,T:System.Windows.Forms.ListBox,,,,,listboxMessage.Items.Add(hb);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,68,12,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,listboxMessage.Items.Add(hb);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,68,12,P:System.Windows.Forms.ListBox.Items,,,,,listboxMessage.Items.Add(hb);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,68,12,M:System.Windows.Forms.ListBox.ObjectCollection.Add(System.Object),,,,,listboxMessage.Items.Add(hb);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,63,16,"M:System.Windows.Forms.Control.Invoke(System.Delegate,System.Object[])",,,,,"this.Invoke(action, msg);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,60,12,P:System.Windows.Forms.Control.InvokeRequired,,,,,"if (this.InvokeRequired)              {                  Action<string> action = AppendMessageWithTime;                  this.Invoke(action, msg);                  return;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,46,16,"M:System.Windows.Forms.Control.Invoke(System.Delegate,System.Object[])",,,,,"this.Invoke(action, param);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,44,12,P:System.Windows.Forms.Control.InvokeRequired,,,,,"if (this.InvokeRequired)              {                  this.Invoke(action, param);              }              else              {                  action(param);              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,35,16,"M:System.Windows.Forms.Control.Invoke(System.Delegate,System.Object[])",,,,,"this.Invoke(action, param);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,33,12,P:System.Windows.Forms.Control.InvokeRequired,,,,,"if (this.InvokeRequired)              {                  this.Invoke(action, param);              }              else              {                  action(param);              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,23,16,M:System.Windows.Forms.Control.Invoke(System.Delegate),,,,,this.Invoke(action);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,21,12,P:System.Windows.Forms.Control.InvokeRequired,,,,,if (this.InvokeRequired)              {                  this.Invoke(action);              }              else              {                  action();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,17,46,T:System.Windows.Forms.ListBox,,,,,listboxMessage
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,15,35,M:System.Windows.Forms.UserControl.#ctor,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,15,35,T:System.Windows.Forms.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,808,43,T:System.Windows.Forms.Label,,,,,label24
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,807,51,T:System.Windows.Forms.NumericUpDown,,,,,nmu_AutoRestartCount
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,806,43,T:System.Windows.Forms.Label,,,,,label23
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,805,44,T:System.Windows.Forms.Button,,,,,btn_Scan
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,804,43,T:System.Windows.Forms.Label,,,,,label22
